Date,Area,Location,CommonName,SpeciesName,Fate,Reason.for.euthanasia,Marine.Park,Latitude,Longitude
6/10/2023,Capricorn Coast,Lammermoor Beach,Common Blacktip Whaler,Carcharhinus Limbatus,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
6/10/2023,Mackay,Bucasia Beach,Great Hammerhead,Sphyrna Mokarran,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
6/10/2023,Cairns,Palm Cove,Tawny Shark,Nebrius Ferrugineus,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
7/10/2023,Townsville,Florence Bay,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
9/10/2023,Gladstone,Tannum Sands,Long Nose Whaler,Carcharhinus Brevipinna,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
10/10/2023,Capricorn Coast,Smart 606 Emu Park,Pigeye Whaler,Carcharhinus Amboinensis,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
10/10/2023,Capricorn Coast,Smart 577 Emu Park,Pigeye Whaler,Carcharhinus Amboinensis,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
11/10/2023,Capricorn Coast,Emu Park,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
11/10/2023,Townsville,Florence Bay,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
11/10/2023,Capricorn Coast,Fishermans Beach,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
12/10/2023,Capricorn Coast,Tanby Point,Blacktip Reef Whaler,Carcharhinus Melanopterus,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
12/10/2023,Mackay,Blacks Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
13/10/2023,Townsville,Radical Bay,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
13/10/2023,Townsville,Radical Bay,Common Blacktip Whaler,Carcharhinus Limbatus,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
13/10/2023,Townsville,Horseshoe Bay,Milk Shark,Rhizoprionodon Acutus,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
